backpack 61.9042 1.3994 2.113
survivor 90.7776 3.8439 1.991
phone 94.6677 -23.2822 1.796
extinguisher 89.857 -65.973 2.582
drill 91.5244 -130.9666 1.372
survivor 120.5863 -161.436 1.023
backpack 104.7651 -126.5252 1.799
phone 117.1953 -97.2865 1.033
drill 114.1621 -70.6865 1.899
backpack 110.6169 -40.663 1.919
survivor 139.5487 -53.9305 1.367
phone 155.5585 -43.379 1.009
drill 181.4447 -54.0261 0.575
extinguisher 166.8649 19.44 1.95
backpack 149.253 -8.411 1.331
drill 124.0403 -8.7747 2.182
backpack 128.6019 24.3914 2.414
extinguisher 105.7697 -5.9155 2.742
extinguisher 67.7603 63.2394 3.394
phone 55.5992 15.9185 1.313
