backpack 67.3161 -3.7259 1.906
extinguisher 102.4725 1.6599 2.919
drill 124.9583 -2.6966 2.664
survivor 155.0086 -6.0431 2.942
phone 186.6733 0.5259 3.261
drill 245.3651 3.2952 3.416
extinguisher 313.2811 -12.7834 3.247
backpack 387.6893 -8.6009 3.913
extinguisher 190.4346 -17.6547 2.95
phone 96.5399 -13.3765 1.86
drill 264.2647 42.8206 4.2
survivor 249.2276 66.0388 4.079
phone 224.1811 66.2092 4.87
extinguisher 224.2354 91.4027 4.962
phone 266.0178 91.7582 4.99
backpack 269.1174 116.738 4.958
survivor 228.4379 105.16 4.626
backpack 189.4309 116.414 4.467
drill 206.6452 73.6086 4.555
backpack 190.1052 47.4403 4.261
