extinguisher 102.4725 1.6599 2.919
drill 124.9583 -2.6966 2.664
backpack 155.0286 -6.2931 2.892
phone 186.6733 0.5259 3.261
survivor 245.1651 3.0952 3.566
extinguisher 313.2811 -12.7834 3.247
phone 338.793 -5.1868 3.466
backpack 282.6569 -17.7492 2.993
extinguisher 153.806 -10.8583 2.949
phone 96.5399 -13.3765 1.86
drill 264.2647 42.8206 4.2
survivor 249.2276 66.0388 4.079
drill 224.1811 66.2092 4.87
phone 224.2354 91.4027 4.357
backpack 269.1174 116.738 4.958
survivor 228.4379 105.16 4.626
backpack 189.4309 116.414 4.467
extinguisher 201.3079 103.0277 4.787
drill 206.6452 73.6086 4.555
backpack 190.1052 47.4403 4.261
